personal_profile,domain,level
"extremely unadventurous, extremely inactive, extremely gloomy, extremely introverted and extremely unassertive
",EXT,Low
"extremely adventurous and daring, extremely active, extremely cheerful, extremely extraverted and extremely assertive
",EXT,High
"extremely unfriendly, extremely gloomy, extremely timid, extremely unenergetic and extremely introverted
",EXT,Low
"extremely friendly, extremely cheerful, extremely bold, extremely energetic and extremely extraverted
",EXT,High
"extremely introverted, extremely inactive, extremely gloomy, extremely timid and extremely unassertive
",EXT,Low
"extremely extraverted, extremely active, extremely cheerful, extremely bold and extremely assertive
",EXT,High
"extremely gloomy, extremely introverted, extremely unenergetic, extremely timid and extremely inactive
",EXT,Low
"extremely cheerful, extremely extraverted, extremely energetic, extremely bold and extremely active
",EXT,High
"extremely gloomy, extremely inactive, extremely silent, extremely unassertive and extremely unenergetic
",EXT,Low
"extremely cheerful, extremely active, extremely talkative, extremely assertive and extremely energetic
",EXT,High
"extremely unkind, extremely dishonest, extremely distrustful, extremely selfish and extremely immoral
",AGR,Low
"extremely kind, extremely honest, extremely trustful, extremely unselfish and extremely moral
",AGR,High
"extremely uncooperative, extremely unsympathetic, extremely distrustful, extremely selfish and extremely self-important
",AGR,Low
"extremely cooperative, extremely sympathetic, extremely trustful, extremely unselfish and extremely humble
",AGR,High
"extremely dishonest, extremely stingy, extremely unsympathetic, extremely immoral and extremely disagreeable
",AGR,Low
"extremely honest, extremely generous, extremely sympathetic, extremely moral and extremely agreeable
",AGR,High
"extremely selfish, extremely dishonest, extremely stingy, extremely immoral and extremely unkind
",AGR,Low
"extremely unselfish, extremely honest, extremely generous, extremely moral and extremely kind
",AGR,High
"extremely immoral, extremely stingy, extremely dishonest, extremely self-important and extremely uncooperative
",AGR,Low
"extremely moral, extremely generous, extremely honest, extremely humble and extremely cooperative
",AGR,High
"extremely messy, extremely undisciplined, extremely negligent, extremely irresponsible and extremely unsure
",CON,Low
"extremely orderly, extremely self-disciplined, extremely conscientious, extremely responsible and extremely self-efficacious
",CON,High
"extremely undisciplined, extremely careless, extremely extravagant, extremely impractical and extremely unsure
",CON,Low
"extremely self-disciplined, extremely thorough, extremely thrifty, extremely practical and extremely self-efficacious
",CON,High
"extremely careless, extremely unsure, extremely negligent, extremely impractical and extremely lazy
",CON,Low
"extremely thorough, extremely self-efficacious, extremely conscientious, extremely practical and extremely hardworking
",CON,High
"extremely impractical, extremely lazy, extremely messy, extremely irresponsible and extremely negligent
",CON,Low
"extremely practical, extremely hardworking, extremely orderly, extremely responsible and extremely conscientious
",CON,High
"extremely disorganized, extremely careless, extremely irresponsible, extremely unsure and extremely undisciplined
",CON,Low
"extremely organized, extremely thorough, extremely responsible, extremely self-efficacious and extremely self-disciplined
",CON,High
"extremely patient, extremely level-headed, extremely unselfconscious, extremely emotionally stable and extremely relaxed
",NEU,Low
"extremely irritable, extremely impulsive, extremely self-conscious, extremely emotionally unstable and extremely tense
",NEU,High
"extremely patient, extremely at ease, extremely relaxed, extremely contented and extremely level-headed
",NEU,Low
"extremely irritable, extremely nervous, extremely tense, extremely discontented and extremely impulsive
",NEU,High
"extremely unselfconscious, extremely relaxed, extremely contented, extremely patient and extremely level-headed
",NEU,Low
"extremely self-conscious, extremely tense, extremely discontented, extremely irritable and extremely impulsive
",NEU,High
"extremely contented, extremely happy, extremely patient, extremely calm and extremely relaxed
",NEU,Low
"extremely discontented, extremely depressed, extremely irritable, extremely angry and extremely tense
",NEU,High
"extremely relaxed, extremely contented, extremely level-headed, extremely at ease and extremely emotionally stable
",NEU,Low
"extremely tense, extremely discontented, extremely impulsive, extremely nervous and extremely emotionally unstable
",NEU,High
"extremely unaesthetic, extremely unintelligent, extremely unsophisticated, extremely unreflective and extremely socially conservative
",OPE,Low
"extremely aesthetic, extremely intelligent, extremely sophisticated, extremely reflective and extremely socially progressive
",OPE,High
"extremely emotionally closed, extremely socially conservative, extremely uninquisitive, extremely unsophisticated and extremely unimaginative
",OPE,Low
"extremely emotionally aware, extremely socially progressive, extremely curious, extremely sophisticated and extremely imaginative
",OPE,High
"extremely unaesthetic, extremely predictable, extremely emotionally closed, extremely socially conservative and extremely uncreative
",OPE,Low
