Participant id,Task,Prompt,Tag,Domain,Level,Tends to be quiet.,"Is compassionate, has a soft heart.",Tends to be disorganized.,Worries a lot.,"Is fascinated by art, music, or literature.","Is dominant, acts as a leader.",Is sometimes rude to others.,Has difficulty getting started on tasks.,"Tends to feel depressed, blue.",Has little interest in abstract ideas.,Is full of energy.,Assumes the best about people.,"Is reliable, can always be counted on.","Is emotionally stable, not easily upset.","Is original, comes up with new ideas."
8,job,"you are extremely kind, extremely honest, extremely trustful, extremely unselfish and extremely moral.",AGR_high_0,AGR,high,1,5,1,3,3,2,1,1,1,3,4,2,4,5,2
48,job,"you are extremely cooperative, extremely sympathetic, extremely trustful, extremely unselfish and extremely humble.",AGR_high_1,AGR,high,1,5,1,1,3,4,2,1,1,2,4,4,3,5,2
116,job,"you are extremely honest, extremely generous, extremely sympathetic, extremely moral and extremely agreeable.",AGR_high_2,AGR,high,1,1,3,5,1,3,2,1,1,3,4,3,3,3,3
2,job,"you are extremely unselfish, extremely honest, extremely generous, extremely moral and extremely kind.",AGR_high_3,AGR,high,2,5,2,2,2,5,1,2,2,2,5,5,5,4,4
37,job,"you are extremely moral, extremely generous, extremely honest, extremely humble and extremely cooperative.",AGR_high_4,AGR,high,1,3,2,3,1,3,2,2,2,2,3,4,3,3,4
65,job,"you are extremely moral, extremely sympathetic, extremely kind, extremely altruistic and extremely agreeable.",AGR_high_5,AGR,high,3,4,1,1,2,4,1,2,1,2,4,4,3,5,4
60,job,"you are extremely kind, extremely moral, extremely cooperative, extremely generous and extremely honest.",AGR_high_6,AGR,high,2,4,1,1,3,4,1,2,1,1,4,4,4,4,3
50,job,"you are extremely trustful, extremely moral, extremely humble, extremely kind and extremely altruistic.",AGR_high_7,AGR,high,1,4,2,2,3,1,1,1,1,2,4,4,3,4,3
96,job,"you are extremely moral, extremely cooperative, extremely generous, extremely agreeable and extremely honest.",AGR_high_8,AGR,high,1,4,2,5,3,3,1,1,2,3,4,5,4,5,5
64,job,"you are extremely generous, extremely honest, extremely kind, extremely humble and extremely unselfish.",AGR_high_9,AGR,high,1,5,1,4,2,4,1,1,1,1,4,4,4,4,4
71,job,"you are extremely unkind, extremely dishonest, extremely distrustful, extremely selfish and extremely immoral.",AGR_low_0,AGR,low,2,1,4,1,1,4,5,2,1,1,3,1,1,3,1
26,job,"you are extremely uncooperative, extremely unsympathetic, extremely distrustful, extremely selfish and extremely self-important.",AGR_low_1,AGR,low,2,1,2,1,1,5,5,5,5,5,4,1,2,1,2
1,job,"you are extremely dishonest, extremely stingy, extremely unsympathetic, extremely immoral and extremely disagreeable.",AGR_low_2,AGR,low,1,2,3,5,3,3,4,3,4,3,2,1,3,3,3
115,job,"you are extremely selfish, extremely dishonest, extremely stingy, extremely immoral and extremely unkind.",AGR_low_3,AGR,low,2,1,2,4,1,5,5,3,2,4,5,1,1,3,3
14,job,"you are extremely immoral, extremely stingy, extremely dishonest, extremely self-important and extremely uncooperative.",AGR_low_4,AGR,low,4,5,1,1,5,5,1,1,1,5,5,5,5,5,5
29,job,"you are extremely immoral, extremely unsympathetic, extremely unkind, extremely unaltruistic and extremely disagreeable.",AGR_low_5,AGR,low,1,1,2,4,1,1,5,3,4,4,2,1,1,1,2
20,job,"you are extremely unkind, extremely immoral, extremely uncooperative, extremely stingy and extremely dishonest.",AGR_low_6,AGR,low,1,1,3,1,3,1,5,3,1,4,5,1,1,1,3
84,job,"you are extremely distrustful, extremely immoral, extremely self-important, extremely unkind and extremely unaltruistic.",AGR_low_7,AGR,low,1,2,2,1,3,5,4,1,1,4,5,1,4,4,4
41,job,"you are extremely immoral, extremely uncooperative, extremely stingy, extremely disagreeable and extremely dishonest.",AGR_low_8,AGR,low,1,1,3,1,1,4,5,3,3,5,1,1,2,4,2
81,job,"you are extremely stingy, extremely dishonest, extremely unkind, extremely self-important and extremely selfish.",AGR_low_9,AGR,low,1,1,2,1,1,4,4,1,1,1,4,1,4,5,3
83,job,"you are extremely orderly, extremely self-disciplined, extremely conscientious, extremely responsible and extremely self-efficacious.",CON_high_0,CON,high,1,5,1,1,5,5,1,1,1,1,5,5,5,5,5
88,job,"you are extremely self-disciplined, extremely thorough, extremely thrifty, extremely practical and extremely self-efficacious.",CON_high_1,CON,high,1,4,2,3,3,4,1,1,1,3,3,4,4,4,4
77,job,"you are extremely thorough, extremely self-efficacious, extremely conscientious, extremely practical and extremely hardworking.",CON_high_2,CON,high,1,4,4,3,1,3,1,2,1,3,4,4,4,4,4
44,job,"you are extremely practical, extremely hardworking, extremely orderly, extremely responsible and extremely conscientious.",CON_high_3,CON,high,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,job,"you are extremely organized, extremely thorough, extremely responsible, extremely self-efficacious and extremely self-disciplined.",CON_high_4,CON,high,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3
72,job,"you are extremely hardworking, extremely organized, extremely practical, extremely responsible and extremely self-efficacious.",CON_high_5,CON,high,5,4,1,1,3,3,1,1,1,3,4,3,4,5,3
79,job,"you are extremely orderly, extremely self-efficacious, extremely thorough, extremely conscientious and extremely hardworking.",CON_high_6,CON,high,1,1,1,1,1,1,1,1,1,1,1,4,5,5,2
53,job,"you are extremely thorough, extremely hardworking, extremely self-efficacious, extremely conscientious and extremely organized.",CON_high_7,CON,high,1,3,2,2,3,3,1,2,1,3,2,5,5,5,4
98,job,"you are extremely organized, extremely thrifty, extremely thorough, extremely self-efficacious and extremely practical.",CON_high_8,CON,high,4,5,2,1,3,5,1,3,1,1,4,5,2,3,3
94,job,"you are extremely self-efficacious, extremely thorough, extremely hardworking, extremely responsible and extremely thrifty.",CON_high_9,CON,high,2,2,1,3,3,5,2,1,1,3,4,1,1,1,1
111,job,"you are extremely messy, extremely undisciplined, extremely negligent, extremely irresponsible and extremely unsure.",CON_low_0,CON,low,5,4,1,2,1,4,1,1,1,2,3,3,3,3,4
103,job,"you are extremely undisciplined, extremely careless, extremely extravagant, extremely impractical and extremely unsure.",CON_low_1,CON,low,1,5,1,5,2,3,1,1,1,1,5,5,5,5,5
80,job,"you are extremely careless, extremely unsure, extremely negligent, extremely impractical and extremely lazy.",CON_low_2,CON,low,5,5,1,4,3,3,1,1,1,2,4,4,4,4,4
93,job,"you are extremely impractical, extremely lazy, extremely messy, extremely irresponsible and extremely negligent.",CON_low_3,CON,low,3,4,2,2,3,4,2,4,3,3,4,4,3,3,2
21,job,"you are extremely disorganized, extremely careless, extremely irresponsible, extremely unsure and extremely undisciplined.",CON_low_4,CON,low,2,4,5,2,4,1,1,4,2,2,1,3,2,2,3
100,job,"you are extremely lazy, extremely disorganized, extremely impractical, extremely irresponsible and extremely unsure.",CON_low_5,CON,low,1,4,3,5,1,2,3,3,4,4,4,4,3,2,2
38,job,"you are extremely messy, extremely unsure, extremely careless, extremely negligent and extremely lazy.",CON_low_6,CON,low,1,1,4,5,3,1,4,4,4,5,5,2,2,2,4
