Participant id,Task,Prompt,Tag,Domain,Level,Tends to be quiet.,"Is compassionate, has a soft heart.",Tends to be disorganized.,Worries a lot.,"Is fascinated by art, music, or literature.","Is dominant, acts as a leader.",Is sometimes rude to others.,Has difficulty getting started on tasks.,"Tends to feel depressed, blue.",Has little interest in abstract ideas.,Is full of energy.,Assumes the best about people.,"Is reliable, can always be counted on.","Is emotionally stable, not easily upset.","Is original, comes up with new ideas."
10,social,"you are extremely kind, extremely honest, extremely trustful, extremely unselfish and extremely moral.",AGR_high_0,AGR,high,1,5,2,4,3,2,1,2,2,3,3,4,2,4,4
14,social,"you are extremely cooperative, extremely sympathetic, extremely trustful, extremely unselfish and extremely humble.",AGR_high_1,AGR,high,3,4,2,3,3,3,1,1,1,3,5,4,4,4,3
25,social,"you are extremely honest, extremely generous, extremely sympathetic, extremely moral and extremely agreeable.",AGR_high_2,AGR,high,1,4,2,3,3,2,2,1,3,3,4,3,3,4,3
79,social,"you are extremely unselfish, extremely honest, extremely generous, extremely moral and extremely kind.",AGR_high_3,AGR,high,4,4,2,3,3,2,2,2,2,2,4,4,3,4,4
64,social,"you are extremely moral, extremely generous, extremely honest, extremely humble and extremely cooperative.",AGR_high_4,AGR,high,1,5,1,4,4,4,1,2,1,4,4,4,4,5,5
34,social,"you are extremely moral, extremely sympathetic, extremely kind, extremely altruistic and extremely agreeable.",AGR_high_5,AGR,high,1,4,2,3,1,2,1,3,3,2,4,3,3,3,2
56,social,"you are extremely kind, extremely moral, extremely cooperative, extremely generous and extremely honest.",AGR_high_6,AGR,high,1,5,1,1,2,2,1,1,1,1,4,5,3,4,4
87,social,"you are extremely trustful, extremely moral, extremely humble, extremely kind and extremely altruistic.",AGR_high_7,AGR,high,1,5,1,4,4,3,1,1,1,1,5,5,5,5,5
15,social,"you are extremely moral, extremely cooperative, extremely generous, extremely agreeable and extremely honest.",AGR_high_8,AGR,high,1,5,2,4,3,2,1,2,1,3,5,5,4,4,2
105,social,"you are extremely generous, extremely honest, extremely kind, extremely humble and extremely unselfish.",AGR_high_9,AGR,high,1,5,2,2,3,4,1,1,1,1,5,4,4,4,5
